tD,WeD,PD_>100,PD_Lee,PD_Fanchi,PD_Edw.,PD-used,,,Min.,Max.,Diff.,Mean,SD
0,0,#NUM!,#NUM!,#NUM!,0,0,,tD,0,2E+12,2E+12,1.81E+10,1.35E+11
750,229.514,3.714571603,3.719693196,3.721697905,3.71174218,3.714571603,,,,,,,
760,232.12,3.721194217,3.726341786,3.726906018,3.718146772,3.721194217,,,,,,,
770,234.721,3.727730257,3.732890706,3.732007858,3.724463853,3.727730257,,,,,,,
775,236.02,3.730966515,3.736128129,3.734519747,3.727590281,3.730966515,,,,,,,
780,237.318,3.73418196,3.739341031,3.737006041,3.730695667,3.73418196,,,,,,,
790,239.912,3.740551473,3.745693741,3.741903085,3.736844375,3.740551473,,,,,,,
800,242.501,3.746840864,3.751949731,3.746701417,3.742912056,3.746840864,,,,,,,
810,245.086,3.753052124,3.75810981,3.751403376,3.748900713,3.753052124,,,,,,,
820,247.668,3.75918717,3.764174709,3.756011218,3.754812276,3.75918717,,,,,,,
825,248.957,3.762226693,3.767171673,3.758280529,3.757739731,3.762226693,,,,,,,
830,250.245,3.76524785,3.770145083,3.76052712,3.760648605,3.76524785,,,,,,,
840,252.819,3.771235946,3.776021516,3.764953183,3.766411494,3.771235946,,,,,,,
850,255.388,3.777153175,3.781804522,3.769291434,3.772102675,3.777153175,,,,,,,
860,257.953,3.783001195,3.787494549,3.773543835,3.777723817,3.783001195,,,,,,,
870,260.515,3.788781606,3.793091984,3.777712278,3.783276534,3.788781606,,,,,,,
875,261.795,3.791646943,3.795856084,3.77976559,3.786027722,3.791646943,,,,,,,
880,263.073,3.794495954,3.798597154,3.781798595,3.788762385,3.794495954,,,,,,,
890,265.629,3.800145731,3.804010329,3.785804556,3.794182875,3.800145731,,,,,,,
900,268.181,3.805732382,3.809331723,3.789731876,3.799539462,3.805732382,,,,,,,
910,270.729,3.8112573,3.8145615,3.793582212,3.804833553,3.8112573,,,,,,,
920,273.274,3.816721835,3.819699772,3.797357171,3.81006651,3.816721835,,,,,,,
925,274.545,3.819431869,3.822234617,3.799216871,3.812660478,3.819431869,,,,,,,
930,275.815,3.822127293,3.824746606,3.801058307,3.815239653,3.822127293,,,,,,,
940,278.353,3.827474938,3.829702021,3.804687128,3.820354259,3.827474938,,,,,,,
950,280.888,3.832765992,3.834565993,3.808245095,3.825411563,3.832765992,,,,,,,
960,283.42,3.838001642,3.839338455,3.811733624,3.830412764,3.838001642,,,,,,,
970,285.948,3.843183036,3.844019301,3.815154089,3.835359023,3.843183036,,,,,,,
975,287.211,3.845753735,3.846325325,3.816839215,3.837811903,3.845753735,,,,,,,
980,288.473,3.848311286,3.848608387,3.818507821,3.840251466,3.848311286,,,,,,,
990,290.995,3.853387472,3.853105529,3.821796116,3.845091184,3.853387472,,,,,,,
1000,293.514,3.858412639,3.85751051,3.825020228,3.849879237,3.858412639,,,,,,,
1010,296.03,3.863387805,3.861823078,3.828181377,3.854616652,3.863387805,,,,,,,
